map_LCIn1-0_LTW0-3_NR-H3,0:00:04.687002
map_LCIn1-0_LTW0-3_NR-W3,0:00:07.001856
map_LCIn1-0_LTW0-3_NR-H4,0:00:03.446788
map_LCIn1-0_LTW0-3_NR-W4,0:00:05.001131
map_LCIn1-0_LTW0-3_NR-H5,0:00:03.888772
map_LCIn1-0_LTW0-3_NR-W5,0:00:04.422384
map_LCIn1-0_LTW0-3_NR-H6,0:00:03.795711
map_LCIn1-0_LTW0-3_NR-W6,0:00:04.315155
map_LCIn1-0_LTW0-3_NR-H7,0:00:03.108389
map_LCIn1-0_LTW0-3_NR-W7,0:00:04.717513
map_LCIn1-0_LTW0-3_NR-H8,0:00:03.745052
map_LCIn1-0_LTW0-3_NR-W8,0:00:03.751775
map_LCIn1-0_LTW0-3_NR-H9,0:00:03.346672
map_LCIn1-0_LTW0-3_NR-W9,0:00:04.034269
map_LCIn1-0_LTW0-3_NR-H10,0:00:03.121021
map_LCIn1-0_LTW0-3_NR-W10,0:00:02.618338
map_LCIn1-0_LTW0-4_NR-1,0:00:03.264002
map_LCIn1-0_LTW0-4_NR-H1,0:00:10.440128
map_LCIn1-0_LTW0-4_NR-W1,0:00:21.039503
map_LCIn1-0_LTW0-4_NR-H2,0:00:07.626929
map_LCIn1-0_LTW0-4_NR-W2,0:00:10.220226
map_LCIn1-0_LTW0-4_NR-H3,0:00:04.979768
map_LCIn1-0_LTW0-4_NR-W3,0:00:06.877221
map_LCIn1-0_LTW0-4_NR-H4,0:00:04.169439
map_LCIn1-0_LTW0-4_NR-W4,0:00:05.160583
map_LCIn1-0_LTW0-4_NR-H5,0:00:03.887992
map_LCIn1-0_LTW0-4_NR-W5,0:00:04.381888
map_LCIn1-0_LTW0-4_NR-H6,0:00:02.535987
map_LCIn1-0_LTW0-4_NR-W6,0:00:04.849132
map_LCIn1-0_LTW0-4_NR-H7,0:00:02.882651
map_LCIn1-0_LTW0-4_NR-W7,0:00:03.685382
map_LCIn1-0_LTW0-4_NR-H8,0:00:02.490344
map_LCIn1-0_LTW0-4_NR-W8,0:00:03.486963
map_LCIn1-0_LTW0-4_NR-H9,0:00:02.567191
map_LCIn1-0_LTW0-4_NR-W9,0:00:04.007628
map_LCIn1-0_LTW0-4_NR-H10,0:00:02.522396
map_LCIn1-0_LTW0-4_NR-W10,0:00:03.419367
map_LCIn1-0_LTW0-5_NR-1,0:00:03.088042
map_LCIn1-0_LTW0-5_NR-H1,0:00:10.796761
map_LCIn1-0_LTW0-5_NR-W1,0:00:20.681972
map_LCIn1-0_LTW0-5_NR-H2,0:00:05.742456
map_LCIn1-0_LTW0-5_NR-W2,0:00:10.805538
map_LCIn1-0_LTW0-5_NR-H3,0:00:04.151073
map_LCIn1-0_LTW0-5_NR-W3,0:00:07.159970
map_LCIn1-0_LTW0-5_NR-H4,0:00:04.522795
map_LCIn1-0_LTW0-5_NR-W4,0:00:05.003269
map_LCIn1-0_LTW0-5_NR-H5,0:00:02.660733
map_LCIn1-0_LTW0-5_NR-W5,0:00:04.846148
map_LCIn1-0_LTW0-5_NR-H6,0:00:03.000935
map_LCIn1-0_LTW0-5_NR-W6,0:00:03.230736
map_LCIn1-0_LTW0-5_NR-H7,0:00:03.584039
map_LCIn1-0_LTW0-5_NR-W7,0:00:03.551971
map_LCIn1-0_LTW0-5_NR-H8,0:00:03.193378
map_LCIn1-0_LTW0-5_NR-W8,0:00:03.532778
map_LCIn1-0_LTW0-5_NR-H9,0:00:03.169132
map_LCIn1-0_LTW0-5_NR-W9,0:00:02.723745
map_LCIn1-0_LTW0-5_NR-H10,0:00:03.458714
map_LCIn1-0_LTW0-5_NR-W10,0:00:04.182783
map_LCIn1-0_LTW0-6_NR-1,0:00:03.150404
map_LCIn1-0_LTW0-6_NR-H1,0:00:11.294669
map_LCIn1-0_LTW0-6_NR-W1,0:00:21.132482
map_LCIn1-0_LTW0-6_NR-H2,0:00:05.446469
map_LCIn1-0_LTW0-6_NR-W2,0:00:10.949943
map_LCIn1-0_LTW0-6_NR-H3,0:00:04.487213
map_LCIn1-0_LTW0-6_NR-W3,0:00:07.680797
map_LCIn1-0_LTW0-6_NR-H4,0:00:03.676397
map_LCIn1-0_LTW0-6_NR-W4,0:00:07.507115
map_LCIn1-0_LTW0-6_NR-H5,0:00:04.929769
map_LCIn1-0_LTW0-6_NR-W5,0:00:04.623413
map_LCIn1-0_LTW0-6_NR-H6,0:00:02.541325
map_LCIn1-0_LTW0-6_NR-W6,0:00:04.286458
map_LCIn1-0_LTW0-6_NR-H7,0:00:02.533439
map_LCIn1-0_LTW0-6_NR-W7,0:00:04.238806
map_LCIn1-0_LTW0-6_NR-H8,0:00:03.308052
map_LCIn1-0_LTW0-6_NR-W8,0:00:04.173582
map_LCIn1-0_LTW0-6_NR-H9,0:00:02.500197
map_LCIn1-0_LTW0-6_NR-W9,0:00:03.200259
